Post_text,success
"['felga', 'aluminiowy', 'motorsport', 'volkswagen', 'polo', 'jaka', 'siebie', 'podobać']",28.0
"['widzieć', 'vw', 'beetle', 'house', 'projekt', 'wykonać', 'wiek', 'rok', 'przez', 'markusa', 'voglreitera', 'zdecydować', 'przyciągać', 'uwaga']",23.125
"['startować', 'sprawdzić', 'jaka', 'volkswagen', 'up', 'radzić', 'siebie', 'wiek', 'warunki', 'miejski', 'i', 'wygrać', 'z', 'zestaw', 'podróżny', 'zapraszać', 'gra', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'wiek', 'tyeg']",10.625
"['pewnie', 'śniadanie', 'ale', 'mimo', 'podrzucać', 'kolejny', 'pomysł', 'dobry', 'rozpocząć', 'dzień', 'fan', 'volkswagena']",19.125
"['zapraszać', 'obejrzeć', 'konferencja', 'z', 'genewski', 'salon', 'samochodowy', 'który', 'zaprezentować', 'zostać', 'nowy', 'model', 'volkswagena', 'relacja', 'dostępny', 'adres', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'a', 'i', 'ojciec']",8.625
"['stoisko', 'wiek', 'genewie', 'i', 'pierwszy', 'samochód', 'volkswagena', 'zbudować', 'modułowy', 'platforma', 'mqb', 'suv', 'przyszłość', 'cross', 'coup', 'przyspieszyć', 'kilometr', 'h', 'wiek', 'sekunda', 'średnia', 'zużyć', 'paliwo', 'poziom', 'l', 'kilometr', 'wiek', 'rozwiązanie', 'zastosować', 'wiek', 'cross', 'coupe', 'drzemać', 'naprawdę', 'wielki', 'możliwość', 'jaka', 'siebie', 'podobać']",34.875
"['który', 'wybierać']",42.875
"['pani', 'z', 'okazja', 'święty', 'najlepszy']",20.0
"['sprawdzić', 'jaka', 'up', 'radzić', 'siebie', 'wiek', 'warunki', 'miejski', 'który', 'etap', 'gra', 'siebie', 'podobać', 'konkurs', 'dostępny', 'adres', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'anqngi']",13.0
"['jaka', 'model', 'znajdywać', 'siebie', 'zdjęcie']",32.125
"['kolejny', 'z', 'fantastyczny', 'spot', 'vw', 'polecać']",16.25
"['z', 'okazja', 'światowy', 'dzień', 'drzemka', 'wiek', 'praca', 'życzyć', 'miły', 'sen']",94.875
"['kreatywność', 'znać', 'granica', 'coś', 'z', 'seria', 'typowy', 'tablica', 'rejestracyjny']",39.25
"['pamiętać', 'reklama', 'the', 'barka', 'side', 'lekki', 'przeróbka', 'the', 'meow', 'side']",19.25
"['znać', 'lista', 'zwycięzca', 'i', 'etap', 'konkurs', 'mały', 'wielki', 'walk', 'były', 'wyjątkowo', 'zacięty', 'gratulacja', 'najlepszy', 'wynik', 'i', 'etap', 'https', 'apps', 'facebook', 'coś', 'male', 'wielki']",21.875
"['mały', 'zagadka', 'dotyczyć', 'golfa', 'vi', 'cza', 'wiedzieć', 'jaka', 'nazywać', 'siebie', 'linia', 'boczny', 'biegnąć', 'oda', 'wyprofilować', 'próg', 'aż', 'światły', 'tylny']",21.875
"['volkswagen', 'polo', 'bluegt']",14.875
"['dzięki', 'społeczność', 'volkswagen', 'polska', 'rosnąć', 'wiek', 'siła', 'dziękować', 'z']",16.625
"['golf', 'gti', 'cabrio', 'zdecydować', 'prezentować', 'siebie', 'fantastycznie', 'aż', 'chcieć', 'siebie', 'rok']",22.625
"['niektóry', 'zdecydować', 'mieć', 'poczuć', 'humor', 'wiedzieć', 'tylko', 'cza', 'taka', 'pozytywnie', 'reagować', 'kierowca', 'który', 'widzieć', 'taka', 'znak']",15.625
"['mistrz', 'odwracać', 'uwaga', 'jaka', 'siebie', 'podobać']",16.0
"['amarok', 'canyon', 'kolejny', 'model', 'koncepcyjny', 'który', 'przedstawić', 'zostać', 'podczas', 'tegoroczny', 'genewski', 'salon', 'samochodowy', 'podwyższyć', 'ojciec', 'milimetr', 'nadwozie', 'wiek', 'kolor', 'baladi', 'orange', 'reflektor', 'dach', 'wysuwać', 'elektrycznie', 'stopień', 'oraz', 'kajak', 'wiek', 'kompleta', 'wiek', 'raz', 'ekstremalny', 'wycieczka']",23.0
"['mistrz', 'odwracać', 'uwaga', 'część', 'ii', 'zapraszać', 'obejrzeć']",8.75
"['wiek', 'ił', 'udawać', 'siebie', 'zaparkować', 'volkswagenem', 'up', 'wiek', 'gra', 'mały', 'wielki', 'zobaczyć', 'rekordzista']",47.25
"['test', 'nowy', 'volkswagena', 'cc', 'czorsztyn']",15.75
"['dawny', 'zagadka', 'taka', 'pytać', 'prawidłowy', 'kolejność', 'jazda', 'pojazd', 'obrazek']",106.0
"['wnęter', 'model', 'przedstawiać', 'poniższy', 'zdjąć']",104.0
"['rozpocząć', 'czwarty', 'ostatni', 'etap', 'konkurs', 'wszystek', 'serdecznie', 'zachęcać', 'zabawy', 'i', 'zagranie', 'wiek', 'mały', 'wielki', 'jeszcze', 'próbować', 'niech', 'przetestować', 'możliwość', 'nowy', 'up', 'HyperText_Transfer_Protocol', 'fb', 'ggo', 'lx']",12.125
"['volkswagen', 'polska', 'życzyć', 'bulla', 'ogórkowy', 'sen']",28.0
"['zdjąć', 'z', 'wystawa', 'cosmic', 'thing', 'wiek', 'który', 'dami', 'nijaki', 'ortega', 'przedstawić', 'wiek', 'interesować', 'sposobić', 'znać', 'model', 'volkswagena', 'poznawać']",32.0
"['aż', 'żalić', 'zjadać']",29.25
"['szybki', 'zagadka', 'ił', 'wynosić', 'wiek', 'milimetr', 'rozstawić', 'oś', 'wiek', 'nowy', 'up']",18.25
"['tama', 'uważać', 'wyglądać', 'sympatycznie', 'sądzić']",31.375
"['nadchodzić', 'blisko']",34.625
"['który', 'wybierać']",88.25
"['zgadzać', 'siebie', 'pierwszy', 'wrazić', 'najważniejszy']",25.625
"['kolejny', 'gadżet', 'wiek', 'ramy', 'inspiracja', 'fan', 'volkswagena', 'wiek', 'kompleta', 'toster', 'bulla']",12.25
['patrzyć'],17.75
"['volkswagena', 'up', 'zostać', 'wybrać', 'światowy', 'samochód', 'rok', 'prestiżowy', 'wyróżnić', 'zostać', 'przyznać', 'przez', 'międzynarodowy', 'jury', 'podczas', 'new', 'york', 'international', 'auto', 'show', 'dziękować']",29.25
"['który', 'model', 'volkswagena', 'pierwszy']",227.5
"['korzystać', 'z', 'świąteczny', 'lenistwo', 'mieć', 'nadzieja', 'wiek', 'ramy', 'świąteczny', 'relaks', 'nowy', 'spot', 'volkswagena']",3.25
"['cza', 'wiedzieć', 'jaka', 'model', 'volkswagena']",85.25
"['coś', 'który', 'mieć', 'wątpliwość', 'funkcjonalność', 'kultowy', 'model', 'volkswagena']",29.5
"['z', 'miłość', 'volkswagena', 'znaleźć', 'volkswagen', 'international']",26.75
"['spragniony', 'nowy', 'volkswagena', 'cc', 'kolejny', 'galeria', 'zdjęcie', 'czekać']",23.25
"['mieć', 'racja', 'oto', 'legenda', 'volkswagen', 'spółka', 'jaka', 'siebie', 'podobać']",43.0
"['poznawać', 'model', 'volkswagena']",48.25
"['miłość', 'volkswagena', 'golfa', 'ogarnąć', 'wszystek']",74.25
"['jaka', 'kolor', 'według', 'pasować', 'nowy', 'volkswagena', 'cc', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'j', 'infx']",64.0
"['właściciel', 'sympatyk', 'volkswagena', 'polo', 'ujawnić', 'siebie']",21.625
"['zdjąć', 'przesłać', 'przez', 'z', 'użytkowniczka', 'kolejny', 'ciekawy', 'reklama', 'volkswagena', 'dziękować']",24.625
"['a', 'móc', 'sofa', 'salon']",38.25
"['zapraszać', 'wszystek', 'fan', 'odwiedzać', 'także', 'brand', 'page', 'a', 'google', 'tama', 'tenże']",4.0
"['czas', 'znak', 'wystarczać']",62.25
"['nowy', 'volkswagen', 'cc', 'wybrać', 'wiek', 'tsi', 'cza', 'tdi']",56.0
"['dziękować', 'kolega', 'wiedzieć', 'oznaczać', 'zdać', 'znać', 'jeszcze', 'cb', 'radiowy', 'powieść']",48.0
"['mały', 'zagadka', 'znać', 'wykonawca', 'i', 'tytuł', 'piosenka', 'który', 'zostać', 'wykorzystać', 'wiek', 'spot']",13.25
"['taka', 'wiele', 'system', 'wiek', 'tylko', 'samochód', 'który', 'z', 'chętnie', 'zamontować', 'wiek', 'swoje', 'samochód']",27.75
"['zdecydować', 'polecać', 'rozwiązanie']",64.75
"['wakacje', 'samochód', 'taka', 'cza', 'jaka', 'woleć']",53.375
